Code,Label,Symbol,Description
NT,net ton,,"A unit of mass equal to 2000 pounds, see ton (US).  Refer International Convention on tonnage measurement of Ships."
NTU,Nephelometric turbidity unit,NTU,Nephelometric turbidity unit (NTU) is used for water turbidity level evaluation
NU,newton metre,N·m,
NX,part per thousand,‰,"A unit of proportion equal to 10⁻³. ,Synonym: per mille"
OA,panel,,"A unit of count defining the number of panels (panel: a distinct, usually rectangular, section of a surface)."
ODE,ozone depletion equivalent,,"A unit of mass defining the ozone depletion potential in kilograms of a product relative to the calculated depletion for the reference substance, Trichlorofluoromethane (CFC-11)."
ODG,ODS Grams,,"A unit of measure calculated by multiplying the mass of the substance in grams and the ozone-depleting potential for the substance.,"
ODK,ODS Kilograms,,A unit of measure calculated by multiplying the mass of the substance in kilograms and the ozone-depleting potential for the substance.
ODM,ODS Milligrams,,A unit of measure calculated by multiplying the mass of the substance in milligrams and the ozone-depleting potential for the substance.
OHM,ohm,Ω,
ON,ounce per square yard,oz/yd²,
ONZ,ounce (avoirdupois),oz,
OPM,oscillations per minute,o/min,The number of oscillations per minute.
OT,overtime hour,,A unit of time defining the number of overtime hours.
OZA,fluid ounce (US),fl oz (US),
OZI,fluid ounce (UK),fl oz (UK),
P1,percent,% or pct,A unit of proportion equal to 0.01.
P10,coulomb per metre,C/m,Derived SI unit coulomb divided by the SI base unit metre.
P11,kiloweber,kWb,1000 fold of the derived SI unit weber.
P12,gamma,γ,Unit of magnetic flow density.
P13,kilotesla,kT,1000-fold of the derived SI unit tesla.
P14,joule per second,J/s,Quotient of the derived SI unit joule divided by the SI base unit second.
P15,joule per minute,J/min,Quotient from the derived SI unit joule divided by the unit minute.
P16,joule per hour,J/h,Quotient from the derived SI unit joule divided by the unit hour.
P17,joule per day,J/d,Quotient from the derived SI unit joule divided by the unit day.
P18,kilojoule per second,kJ/s,Quotient from the 1000-fold of the derived SI unit joule divided by the SI base unit second.
P19,kilojoule per minute,kJ/min,Quotient from the 1000-fold of the derived SI unit joule divided by the unit minute.
P2,pound per foot,lb/ft,
P20,kilojoule per hour,kJ/h,Quotient from the 1000-fold of the derived SI unit joule divided by the unit hour.
P21,kilojoule per day,kJ/d,Quotient from the 1000-fold of the derived SI unit joule divided by the unit day.
P22,nanoohm,nΩ,"0,000 000 001-fold of the derived SI unit ohm."
P23,ohm circular-mil per foot,Ω·cmil/ft ,Unit of resistivity.
P24,kilohenry,kH,1000-fold of the derived SI unit henry.
P25,lumen per square foot,lm/ft²,Derived SI unit lumen divided by the power of the unit foot according to the Anglo-American and Imperial system of units by exponent 2.
P26,phot,ph,"CGS (Centimetre-Gram-Second system) unit of luminance, defined as lumen by square centimetre."
P27,footcandle,ftc,"Non SI conform traditional unit, defined as density of light which impinges on a surface which has a distance of one foot from a light source, which shines with an intensity of an international candle."
P28,candela per square inch,cd/in²,SI base unit candela divided by the power of unit inch according to the Anglo-American and Imperial system of units by exponent 2.
P29,footlambert,ftL,"Unit of the luminance according to the Anglo-American system of units, defined as emitted or reflected luminance of a lm/ft²."
P30,lambert,Lb,"CGS (Centimetre-Gram-Second system) unit of luminance, defined as the emitted or reflected luminance by one lumen per square centimetre."
P31,stilb,sb,"CGS (Centimetre-Gram-Second system) unit of luminance, defined as emitted or reflected luminance by one lumen per square centimetre."
P32,candela per square foot,cd/ft²,Base unit SI candela divided by the power of the unit foot according to the Anglo-American and Imperial system of units by exponent 2.
P33,kilocandela,kcd,1000-fold of the SI base unit candela.
P34,millicandela,mcd,"0,001-fold of the SI base unit candela."
P35,Hefner-Kerze,HK,"Obsolete, non-legal unit of the power in Germany relating to DIN 1301-3:1979: 1 HK = 0,903 cd."
P36,international candle,IK,"Obsolete, non-legal unit of the power in Germany relating to DIN 1301-3:1979: 1 HK = 1,019 cd."
P37,British thermal unit (international table) per square foot,BtuIT/ft²,Unit of the areal-related energy transmission according to the Imperial system of units.
P38,British thermal unit (thermochemical) per square foot,Btuth/ft²,Unit of the areal-related energy transmission according to the Imperial system of units.
P39,calorie (thermochemical) per square centimetre,calth/cm²,Unit of the areal-related energy transmission according to the Imperial system of units.
P40,langley,Ly,CGS (Centimetre-Gram-Second system) unit of the areal-related energy transmission (as a measure of the incident quantity of heat of solar radiation on the earth's surface).
P41,decade (logarithmic),dec,"1 Dec := log2 10 ˜ 3,32 according to the logarithm for frequency range between f1 and f2, when f2/f1 = 10."
P42,pascal squared second,Pa²·s,Unit of the set as a product of the power of derived SI unit pascal with exponent 2 and the SI base unit second.
P43,bel per metre,B/m,Unit bel divided by the SI base unit metre.
P44,pound mole,lbmol,Non SI-conforming unit of quantity of a substance relating that one pound mole of a chemical composition corresponds to the same number of pounds as the molecular weight of one molecule of this composition in atomic mass units.
P45,pound mole per second,lbmol/s,Non SI-conforming unit of the power of the amount of substance non-SI compliant unit of the molar flux relating that a pound mole of a chemical composition the same number of pound corresponds like the molecular weight of a molecule of this composition in atomic mass units.
P46,pound mole per minute,lbmol/h,Non SI-conforming unit of the power of the amount of substance non-SI compliant unit of the molar flux relating that a pound mole of a chemical composition the same number of pound corresponds like the molecular weight of a molecule of this composition in atomic mass units.
P47,kilomole per kilogram,kmol/kg,1000-fold of the SI base unit mol divided by the SI base unit kilogram.
P48,pound mole per pound,lbmol/lb,Non SI-conforming unit of the material molar flux divided by the avoirdupois pound for mass according to the avoirdupois unit system.
P49,newton square metre per ampere,N·m²/A,Product of the derived SI unit newton and the power of SI base unit metre with exponent 2 divided by the SI base unit ampere.
P5,five pack,,A unit of count defining the number of five-packs (five-pack: set of five items packaged together).
P50,weber metre,Wb·m,Product of the derived SI unit weber and SI base unit metre.
P51,mol per kilogram pascal,(mol/kg)/Pa,SI base unit mol divided by the product of the SI base unit kilogram and the derived SI unit pascal.
P52,mol per cubic metre pascal,(mol/m³)/Pa,SI base unit mol divided by the product of the power from the SI base unit metre with exponent 3 and the derived SI unit pascal.
P53,unit pole,unit pole ,CGS (Centimetre-Gram-Second system) unit for magnetic flux of a magnetic pole (according to the interaction of identical poles of 1 dyn at a distance of a cm).
P54,milligray per second,mGy/s,"0,001-fold of the derived SI unit gray divided by the SI base unit second."
P55,microgray per second,µGy/s,"0,000 001-fold of the derived SI unit gray divided by the SI base unit second."
P56,nanogray per second,nGy/s,"0,000 000 001-fold of the derived SI unit gray divided by the SI base unit second."
P57,gray per minute,Gy/min,SI derived unit gray divided by the unit minute.
P58,milligray per minute,mGy/min,"0,001-fold of the derived SI unit gray divided by the unit minute."
P59,microgray per minute,µGy/min,"0,000 001-fold of the derived SI unit gray divided by the unit minute."
P60,nanogray per minute,nGy/min,"0,000 000 001-fold of the derived SI unit gray divided by the unit minute."
P61,gray per hour,Gy/h,SI derived unit gray divided by the unit hour.
P62,milligray per hour,mGy/h,"0,001-fold of the derived SI unit gray divided by the unit hour."
P63,microgray per hour,µGy/h,"0,000 001-fold of the derived SI unit gray divided by the unit hour."
P64,nanogray per hour,nGy/h,"0,000 000 001-fold of the derived SI unit gray divided by the unit hour."
P65,sievert per second,Sv/s,Derived SI unit sievert divided by the SI base unit second.
P66,millisievert per second,mSv/s,"0,001-fold of the derived SI unit sievert divided by the SI base unit second."
P67,microsievert per second,µSv/s,"0,000 001-fold of the derived SI unit sievert divided by the SI base unit second."
P68,nanosievert per second,nSv/s,"0,000 000 001-fold of the derived SI unit sievert divided by the SI base unit second."
P69,rem per second,rem/s,"Unit for the equivalent tin rate relating to DIN 1301-3:1979: 1 rem/s = 0,01 J/(kg·s) = 1 Sv/s."
P70,sievert per hour,Sv/h,Derived SI unit sievert divided by the unit hour.
P71,millisievert per hour,mSv/h,"0,001-fold of the derived SI unit sievert divided by the unit hour."
P72,microsievert per hour,µSv/h,"0,000 001-fold of the derived SI unit sievert divided by the unit hour."
P73,nanosievert per hour,nSv/h,"0,000 000 001-fold of the derived SI unit sievert divided by the unit hour."
P74,sievert per minute,Sv/min,Derived SI unit sievert divided by the unit minute.
P75,millisievert per minute,mSv/min,"0,001-fold of the derived SI unit sievert divided by the unit minute."
P76,microsievert per minute,µSv/min,"0,000 001-fold of the derived SI unit sievert divided by the unit minute."
P77,nanosievert per minute,nSv/min,"0,000 000 001-fold of the derived SI unit sievert divided by the unit minute."
P78,reciprocal square inch,1/in²,Complement of the power of the unit inch according to the Anglo-American and Imperial system of units by exponent 2.
P79,pascal square metre per kilogram,Pa/(kg/m²),"Unit of the burst index as derived unit for pressure pascal related to the substance, represented as a quotient from the SI base unit kilogram divided by the power of the SI base unit metre by exponent 2."
P80,millipascal per metre,mPa/m,"0,001-fold of the derived SI unit pascal divided by the SI base unit metre."
P81,kilopascal per metre,kPa/m,1000-fold of the derived SI unit pascal divided by the SI base unit metre.
P82,hectopascal per metre,hPa/m,100-fold of the derived SI unit pascal divided by the SI base unit metre.
P83,standard atmosphere per metre,Atm/m,Outdated unit of the pressure divided by the SI base unit metre.
P84,technical atmosphere per metre,at/m,Obsolete and non-legal unit of the pressure which is generated by a 10 metre water column divided by the SI base unit metre.
P85,torr per metre,Torr/m,CGS (Centimetre-Gram-Second system) unit of the pressure divided by the SI base unit metre.
P86,psi per inch,psi/in,Compound unit for pressure (pound-force according to the Anglo-American unit system divided by the power of the unit inch according to the Anglo-American and Imperial system of units with the exponent 2) divided by the unit inch according to the Anglo-American and Imperial system of units .
P87,cubic metre per second square metre,(m³/s)/m²,Unit of volume flow cubic meters by second related to the transmission surface in square metres.
P88,rhe,rhe,Non SI-conforming unit of fluidity of dynamic viscosity.
P89,pound-force foot per inch,lbf·ft/in,Unit for length-related rotational moment according to the Anglo-American and Imperial system of units.
P90,pound-force inch per inch,lbf·in/in,Unit for length-related rotational moment according to the Anglo-American and Imperial system of units.
P91,perm (0 ºC),perm (0 ºC) ,"Traditional unit for the ability of a material to allow the transition of the steam, defined at a temperature of 0 °C as steam transmittance, where the mass of one grain steam penetrates an area of one foot squared at a pressure from one inch mercury per hour."
P92,perm (23 ºC),perm (23 ºC) ,"Traditional unit for the ability of a material to allow the transition of the steam, defined at a temperature of 23 °C as steam transmittance at which the mass of one grain of steam penetrates an area of one square foot at a pressure of one inch mercury per hour."
P93,byte per second,byte/s,Unit byte divided by the SI base unit second.
P94,kilobyte per second,kbyte/s,1000-fold of the unit byte divided by the SI base unit second.
P95,megabyte per second,Mbyte/s,1 000 000-fold of the unit byte divided by the SI base unit second.
P96,reciprocal volt,1/V,Reciprocal of the derived SI unit volt.
P97,reciprocal radian,1/rad,Reciprocal of the unit radian.
P98,pascal to the power sum of stoichiometric numbers,PaΣνB,"Unit of the equilibrium constant on the basis of the pressure(ISO 80000-9:2009, 9-35.a)."
P99,mole per cubiv metre to the power sum of stoichiometric numbers,(mol/m³)∑νB,"Unit of the equilibrium constant on the basis of the concentration (ISO 80000-9:2009, 9-36.a)."
PAL,pascal,Pa,
PD,pad,,A unit of count defining the number of pads (pad: block of paper sheets fastened together at one end).
PFL,proof litre,,"A unit of volume equal to one litre of proof spirits, or the alcohol equivalent thereof. Used for measuring the strength of distilled alcoholic liquors, expressed as a percentage of the alcohol content of a standard mixture at a specific temperature."
PGL,proof gallon,,"A unit of volume equal to one gallon of proof spirits, or the alcohol equivalent thereof. Used for measuring the strength of distilled alcoholic liquors, expressed as a percentage of the alcohol content of a standard mixture at a specific temperature."
PI,pitch,,A unit of count defining the number of characters that fit in a horizontal inch.
PLA,degree Plato,°P,"A unit of proportion defining the sugar content of a product, especially in relation to beer."
PO,pound per inch of length,lb/in,
PQ,page per inch,ppi,"A unit of quantity defining the degree of thickness of a bound publication, expressed as the number of pages per inch of thickness."
PR,pair,,A unit of count defining the number of pairs (pair: item described by two's).
PS,pound-force per square inch,lbf/in²,
PTD,dry pint (US),dry pt (US),
PTI,pint (UK),pt (UK),
PTL,liquid pint (US),liq pt (US),
PTN,portion,PTN,"A quantity of allowance of food allotted to, or enough for, one person."
Q10,joule per tesla,J/T,Unit of the magnetic dipole moment of the molecule as derived SI unit joule divided by the derived SI unit tesla.
Q11,erlang,E,Unit of the market value according to the feature of a single feature as a statistical measurement of the existing utilization.
Q12,octet,o,Synonym for byte: 1 octet = 8 bit = 1 byte.
Q13,octet per second,o/s,Unit octet divided by the SI base unit second.
Q14,shannon,Sh,"Logarithmic unit for information equal to the content of decision of a sentence of two mutually exclusive events, expressed as a logarithm to base 2."
Q15,hartley,Hart,"Logarithmic unit for information equal to the content of decision of a sentence of ten mutually exclusive events, expressed as a logarithm to base 10."
Q16,natural unit of information,nat,"Logarithmic unit for information equal to the content of decision of a sentence of ,718 281 828 459 mutually exclusive events, expressed as a logarithm to base Euler value e."
Q17,shannon per second,Sh/s,"Time related logarithmic unit for information equal to the content of decision of a sentence of two mutually exclusive events, expressed as a logarithm to base 2."
Q18,hartley per second,Hart/s,"Time related logarithmic unit for information equal to the content of decision of a sentence of ten mutually exclusive events, expressed as a logarithm to base 10."
Q19,natural unit of information per second,nat/s,"Time related logarithmic unit for information equal to the content of decision of a sentence of 2,718 281 828 459 mutually exclusive events, expressed as a logarithm to base of the Euler value e."
Q20,second per kilogramm,s/kg,"Unit of the Einstein transition probability for spontaneous or inducing emissions and absorption according to ISO 80000-7:2008, expressed as SI base unit second divided by the SI base unit kilogram."
Q21,watt square metre,W·m²,"Unit of the first radiation constants c1 = 2·p·h·c0², the value of which is 3,741 771 18·10?¹6-fold   that of the comparative value of the product of the derived SI unit watt multiplied with the power of the SI base unit metre with the exponent 2."
Q22,second per radian cubic metre,1/(Hz·rad·m³),Unit of the density of states as an expression of angular frequency as complement of the product of hertz and radiant and the power of SI base unit metre by exponent 3 .
Q23,weber to the power minus one,1/Wb,"Complement of the derived SI unit weber as unit of the Josephson constant, which value is equal to the 384 597,891-fold of the reference value gigahertz divided by volt."
Q24,reciprocal inch,1/in,Complement of the unit inch according to the Anglo-American and Imperial system of units.
Q25,dioptre,dpt,Unit used at the statement of relative refractive indexes of optical systems as complement of the focal length with correspondence to: 1 dpt = 1/m.
Q26,one per one,1/1,Value of the quotient from two physical units of the same kind as a numerator and denominator whereas the units are shortened mutually.
Q27,newton metre per metre,N·m/m²,Unit for length-related rotational moment as product of the derived SI unit newton and the SI base unit metre divided by the SI base unit metre.
Q28,kilogram per square metre pascal second,kg/(m²·Pa·s),Unit for the ability of a material to allow the transition of steam.
Q29,microgram per hectogram,µg/hg,Microgram per hectogram.
Q3,meal,,A unit of count defining the number of meals (meal: an amount of food to be eaten on a single occasion).
Q30,pH (potential of Hydrogen),pH,The activity of the (solvated) hydrogen ion (a logarithmic measure used to state the acidity or alkalinity of a chemical solution).
Q31,kilojoule per gram,kJ/g,
Q32,femtolitre,fl,
Q33,picolitre,pl,
Q34,nanolitre,nl,
Q35,megawatts per minute,MW/min,A unit of power defining the total amount of bulk energy transferred or consumer per minute.
Q36,square metre per cubic metre,m2/m3,A unit of the amount of surface area per unit volume of an object or collection of objects.
Q37,Standard cubic metre per day,,Standard cubic metre (temperature 15°C and pressure 1013.25 millibars ) per day
Q38,Standard cubic metre per hour,,Standard cubic metre (temperature 15°C and pressure 1013.25 millibars ) per hour
Q39,Normalized cubic metre per day,,Normalized cubic metre (temperature 0°C and pressure 1013.25 millibars ) per day
Q40,Normalized cubic metre per hour,,Normalized cubic metre (temperature 0°C and pressure 1013.25 millibars ) per hour
Q41,Joule per normalised cubic metre,,Joule per normalised cubic metre (temperature 0°C and pressure 1013.25 millibars).
Q42,Joule per standard cubic metre,,Joule per standard cubic metre (temperature 15°C and pressure 1013.25 millibars).
QA,page - facsimile,,A unit of count defining the number of facsimile pages.
QAN,quarter (of a year),,A unit of time defining the number of quarters (3 months).
QB,page - hardcopy,,"A unit of count defining the number of hardcopy pages (hardcopy page: a page rendered as printed or written output on paper, film, or other permanent medium)."
QR,quire,qr,"A unit of count for paper, expressed as the number of quires (quire: a number of paper sheets, typically 25)."
QTD,dry quart (US),dry qt (US),
QTI,quart (UK),qt (UK),
QTL,liquid quart (US),liq qt (US),
QTR,quarter (UK),Qr (UK),"A traditional unit of weight equal to 1/4 hundredweight. In the United Kingdom, one quarter equals 28 pounds."
R1,pica,,A unit of count defining the number of picas. (pica: typographical length equal to 12 points or 4.22 mm (approx.)).
R9,thousand cubic metre,,A unit of volume equal to one thousand cubic metres.
RH,running or operating hour,,A unit of time defining the number of hours of operation.
RM,ream,,"A unit of count for paper, expressed as the number of reams (ream: a large quantity of paper sheets, typically 500)."
ROM,room,,A unit of count defining the number of rooms.
RP,pound per ream,,"A unit of mass for paper, expressed as pounds per ream. (ream: a large quantity of paper, typically 500 sheets)."
RPM,revolutions per minute,r/min,Refer ISO/TC12 SI Guide
RPS,revolutions per second,r/s,Refer ISO/TC12 SI Guide
RT,revenue ton mile,,"A unit of information typically used for billing purposes, expressed as the number of revenue tons (revenue ton: either a metric ton or a cubic metres, whichever is the larger), moved over a distance of one mile."
S3,square foot per second,ft²/s,Synonym: foot squared per second
S4,square metre per second,m²/s,Synonym: metre squared per second (square metres/second US)
SAN,half year (6 months),,A unit of time defining the number of half years (6 months).
SCO,score,,A unit of count defining the number of units in multiples of 20.
SCR,scruple,,
SEC,second [unit of time],s,
SET,set,,A unit of count defining the number of sets (set: a number of objects grouped together).
SG,segment,,A unit of information equal to 64000 bytes.
SIE,siemens,S,
SM3,Standard cubic metre,,Standard cubic metre (temperature 15°C and pressure 1013.25 millibars )
SMI,mile (statute mile),mile,
SQ,square,,A unit of count defining the number of squares (square: rectangular shape).
SQR,"square, roofing",,"A unit of count defining the number of squares of roofing materials, measured in multiples of 100 square feet."
SR,strip,,A unit of count defining the number of strips (strip: long narrow piece of an object).
STC,stick,,A unit of count defining the number of sticks (stick: slender and often cylindrical piece of a substance).
STI,stone (UK),st,
STK,"stick, cigarette",,A unit of count defining the number of cigarettes in the smallest unit for stock-taking and/or duty computation.
STL,standard litre,,"A unit of volume defining the number of litres of a product at a temperature of 15 degrees Celsius, especially in relation to hydrocarbon oils."
STN,ton (US) or short ton (UK/US),ton (US),Synonym: net ton (2000 lb)
STW,straw,,A unit of count defining the number of straws (straw: a slender tube used for sucking up liquids).
SW,skein,,A unit of count defining the number of skeins (skein: a loosely-coiled bundle of yarn or thread).
SX,shipment,,A unit of count defining the number of shipments (shipment: an amount of goods shipped or transported).
SYR,syringe,,"A unit of count defining the number of syringes (syringe: a small device for pumping, spraying and/or injecting liquids through a small aperture)."
T0,telecommunication line in service,,A unit of count defining the number of lines in service.
T3,thousand piece,,"A unit of count defining the number of pieces in multiples of 1000 (piece: a single item, article or exemplar)."
TAH,kiloampere hour (thousand ampere hour),kA·h,
TAN,total acid number,TAN,A unit of chemistry defining the amount of potassium hydroxide (KOH) in milligrams that is needed to neutralize the acids in one gram of oil. It is an important quality measurement of crude oil.
TI,thousand square inch,,
TIC,"metric ton, including container",,"A unit of mass defining the number of metric tons of a product, including its container."
TIP,"metric ton, including inner packaging",,"A unit of mass defining the number of metric tons of a product, including its inner packaging materials."
TKM,tonne kilometre,t·km,"A unit of information typically used for billing purposes, expressed as the number of tonnes (metric tons) moved over a distance of one kilometre. "
TMS,"kilogram of imported meat, less offal",,"A unit of mass equal to one thousand grams of imported meat, disregarding less valuable by-products such as the entrails."
TNE,tonne (metric ton),t,Synonym: metric ton
TP,ten pack,,A unit of count defining the number of items in multiples of 10.
TPI,teeth per inch,TPI,The number of teeth per inch.
TPR,ten pair,,A unit of count defining the number of pairs in multiples of 10 (pair: item described by two's).
TQD,thousand cubic metre per day,km³/d,A unit of volume equal to one thousand cubic metres per day.
TRL,trillion (EUR),,
TST,ten set,,A unit of count defining the number of sets in multiples of 10 (set: a number of objects grouped together).
TTS,ten thousand sticks,,A unit of count defining the number of sticks in multiples of 10000 (stick: slender and often cylindrical piece of a substance).
U1,treatment,,"A unit of count defining the number of treatments (treatment: subjection to the action of a chemical, physical or biological agent)."
U2,tablet,,A unit of count defining the number of tablets (tablet: a small flat or compressed solid object).
UB,telecommunication line in service average,,A unit of count defining the average number of lines in service.
UC,telecommunication port,,A unit of count defining the number of network access ports.
VA,volt - ampere per kilogram,V·A / kg,
VLT,volt,V,
VP,percent volume,,"A measure of concentration, typically expressed as the percentage volume of a solute in a solution."
W2,wet kilo,,"A unit of mass defining the number of kilograms of a product, including the water content of the product."
WA,watt per kilogram,W/kg,
WB,wet pound,,"A unit of mass defining the number of pounds of a material, including the water content of the material."
WCD,cord,,A unit of volume used for measuring lumber. One board foot equals 1/12 of a cubic foot.
WE,wet ton,,"A unit of mass defining the number of tons of a material, including the water content of the material."
WEB,weber,Wb,
WEE,week,wk,
WG,wine gallon,,A unit of volume equal to 231 cubic inches.
WHR,watt hour,W·h,
WM,working month,,A unit of time defining the number of working months.
WSD,standard,std,"A unit of volume of finished lumber equal to 165 cubic feet.,Synonym: standard cubic foot"
WTT,watt,W,
X1,Gunter's chain,ch (UK),A unit of distance used or formerly used by British surveyors.
YDK,square yard,yd²,
YDQ,cubic yard,yd³,
YRD,yard,yd,
Z11,hanging container,,A unit of count defining the number of hanging containers.
Z9,nanomole,nmol,An SI unit of amount of substance equal to 10−9 moles
ZP,page,,A unit of count defining the number of pages.
ZZ,mutually defined,,A unit of measure as agreed in common between two or more parties.
